Company ID,Total Billing Across Portfolio Last Month,Marvin Gardens,Park Place,Boardwalk,Ventnor,St. James Place,Tennessee,Kentucky,Pennslyvania,,,,,,,,,,
38147372,0.00037889,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00738411,0.00000000,0.00000000,,,,,,,,,,
1317781262,0.00898644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17513250,0.00000000,0.00000000,,,,,,,,,,
353351969,0.00378632,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07378977,0.00000000,0.00000000,,,,,,,,,,
40861703,0.00295935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05767339,0.00000000,0.00000000,,,,,,,,,,
357451469,0.00413792,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08064204,0.00000000,0.00000000,,,,,,,,,,
356789339,0.00174355,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03397921,0.00000000,0.00000000,,,,,,,,,,
60393187,0.00343257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06689574,0.00000000,0.00000000,,,,,,,,,,
458078443,0.00275807,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05375072,0.00000000,0.00000000,,,,,,,,,,
57051791,0.01578786,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30768224,0.00000000,0.00000000,,,,,,,,,,
356106603,0.00157612,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03071632,0.00000000,0.00000000,,,,,,,,,,
395433627,0.00105599,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02057971,0.00000000,0.00000000,,,,,,,,,,
150766024,0.00111740,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02177645,0.00000000,0.00000000,,,,,,,,,,
409035102,0.00098390,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01917481,0.00000000,0.00000000,,,,,,,,,,
372121937,0.00060508,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01179206,0.00000000,0.00000000,,,,,,,,,,
357922436,0.00006871,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00133910,0.00000000,0.00000000,,,,,,,,,,
3392040,0.00791040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15416216,0.00000000,0.00000000,,,,,,,,,,
345602222,0.00068496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01334884,0.00000000,0.00000000,,,,,,,,,,
178422500,0.00077631,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01512924,0.00000000,0.00000000,,,,,,,,,,
129958172,0.00048659,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00948285,0.00000000,0.00000000,,,,,,,,,,
25231738,0.00142455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02776235,0.00000000,0.00000000,,,,,,,,,,
347009068,0.00120051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02339625,0.00000000,0.00000000,,,,,,,,,,
352395432,0.00089546,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01745120,0.00000000,0.00000000,,,,,,,,,,
347800965,0.00586533,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11430669,0.00000000,0.00000000,,,,,,,,,,
366182431,0.00136484,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02659865,0.00000000,0.00000000,,,,,,,,,,
355931890,0.00081333,0.00000000,0.00000000,0.00000000,0.00000000,0.00383668,0.00000000,0.00000000,0.00000000,,,,,,,,,,
2080787,0.00048029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00936013,0.00000000,0.00000000,,,,,,,,,,
358621663,0.00209823,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04089145,0.00000000,0.00000000,,,,,,,,,,
57771174,0.00020761,0.00000000,0.00000000,0.00218243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
346578871,0.00037894,0.00037894,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
348475378,0.02654901,0.00329861,0.00000000,0.01865449,0.01814329,0.01410547,0.31985734,0.03729484,0.00000000,,,,,,,,,,
354177597,0.00003421,0.00000000,0.00000000,0.00002982,0.00000000,0.00002561,0.00050562,0.00000000,0.00000000,,,,,,,,,,
80200427,0.01235243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.24073079,0.00000000,0.00000000,,,,,,,,,,
24773537,0.00004542,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00088513,0.00000000,0.00000000,,,,,,,,,,
72188869,0.00759188,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14795471,0.00000000,0.00000000,,,,,,,,,,
