ZoomInfo Company ID,Founded Year,Revenue (in 000s USD),Revenue Range (in USD),Est. Marketing Department Budget (in 000s USD),Est. Finance Department Budget (in 000s USD),Est. IT Department Budget (in 000s USD),Est. HR Department Budget (in 000s USD),Employees,Employee Range,Past 1 Year Employee Growth Rate,Past 2 Year Employee Growth Rate,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company City,Company State,Company Zip Code,Company Country,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Company ID (Immediate Parent)
46107229,1843,33550,$25 mil. - $50 mil.,4093,335,671,517,124,Employees.100to249,29.2,27.8,2041,204,20;204;2041,311211,31121,31;311;3112;31121;311211,Retail,Grocery Retail,Retail;Manufacturing,Grocery Retail;Food & Beverage,retail,retail.grocery,4954365,Private,B2B,Yes,28-Dec-23,2000,2000,Debt,14-Apr-20,PPP,PPP,Sinking Spring,Pennsylvania,19608,United States,6,,,
35391069,1957,8500000,Over $5 bil.,425000,85000,246500,1011,550,Employees.500to999,0,0,4925,4924,42;421;4213;47;478;4789;14;148;1481;49;492;4925;4923;4924,488999,488510,48;484;4841;48412;484121;488;4885;48851;488510;4842;48423;484230;4889;48899;488999;21;213;2131;21311;213115;22;221;2212;22121;221210,Business Services,Management Consulting,Business Services,Management Consulting,bizservice,bizservice.consulting,4099095,Private,B2B,Yes,26-Jan-24,0,0,,,,,Gainesville,Georgia,30501,United States,20,,,
13274195,1869,77751,$50 mil. - $100 mil.,4665,777,2643,1032,566,Employees.500to999,0,0.2,8221,822,82;822;8221,611310,61131,61;611;6113;61131;611310,Education,Colleges & Universities,Education,Colleges & Universities,education,education.university,574417,Private,B2C,Yes,19-May-23,0,0,,,,,Collegeville,Pennsylvania,19426,United States,3,,,
353887720,2005,262365,$250 mil. - $500 mil.,21251,3935,9707,2460,696,Employees.500to999,0,0,2869,286,28;286;2869,424690,325199,32;325;3251;32511;325110;42;424;4246;42469;424690;32519;325199,Manufacturing,Chemicals & Related Products,Manufacturing,Chemicals & Related Products,mfg,mfg.chemicals,3341770,Private,B2B,Yes,30-Jan-24,65000,65000,Debt,18-Dec-17,,,Houston,Texas,77056,United States,16,,,
61310121,2005,738789,$500 mil. - $1 bil.,17730,7387,17730,1410,775,Employees.500to999,0,0,9651,9532,93;931;9311;92;921;9211;95;953;9532;91;913;9131;922;9222;96;965;9651,926150,925120,92;921;9211;92119;921190;92111;921110;922;9221;92211;922110;62;623;6231;62311;623110;925;9251;92512;925120;926;9261;92615;926150,Government,State,Government,State,government,government.state,8351,Private,B2B,Yes,5-Feb-24,0,0,,,,,Trenton,New Jersey,8608,United States,34,,27427542,27427542
347309554,2009,5000,$5 mil. - $10 mil.,655,50,185,194,70,Employees.50to99,0,0,7379,7374,73;737;7379;7372;7374,518210,513210,51;513;5132;51321;513210;518;5182;51821;518210,Software,Legal Software,Software,Legal Software,software,software.legal,20453447,Private,B2B,Yes,20-Jun-22,350,350,Debt,15-Apr-20,PPP,PPP,Bala Cynwyd,Pennsylvania,19004,United States,5,,90342338,90342338
34391419,2003,7783,$5 mil. - $10 mil.,630,116,287,139,40,Employees.20to49,0,0,7375,737,73;737;7375;36;366,517919,517810,51;517;5178;51781;517810;5171;51711;5179;51791;517919,Manufacturing,Telecommunication Equipment,Manufacturing;Telecommunications,Telecommunication Equipment;Telephony & Wireless,mfg,mfg.telecom,,Private,,Yes,21-Aug-19,0,0,,,,,Summit,New Jersey,7901,United States,6,Yes,50466149,50466149
344551844,1985,1515,$1 mil. - $5 mil.,118,11,81,11,5,Employees.5to9,0,0,6221,6211,62;621;6211;622;6221,523160,523140,52;523;5231;52316;523160;52314;523140,Finance,Lending & Brokerage,Finance,Lending & Brokerage,finance,finance.brokerage,,Private,,Yes,13-Dec-19,0,0,,,,,Washington,District of Columbia,20003,United States,3,,,
447508038,2010,1241,$1 mil. - $5 mil.,179,16,310,21,9,Employees.5to9,0,0,5812,581,58;581;5812,722511,72251,72;722;7225;72251;722511,Hospitality,Restaurants,Hospitality,Restaurants,hospitality,hospitality.restaurant,13853177,Private,B2C,No,,0,0,,,,,Martinez,California,94553,United States,1,,,
346941712,2010,1036,$1 mil. - $5 mil.,83,15,38,14,6,Employees.5to9,0,0,4812,481,48;481;4812,517312,517112,51;517;5171;51711;517112;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,9137458,Private,B2C,Yes,24-Nov-20,0,0,,,,,Cave City,Arkansas,72521,United States,1,,,
354933188,2009,151937000,Over $5 bil.,7596850,1519370,4406173,40129,17800,Employees.10000plus,0,0,5983,5171,46;461;4613;59;598;5983;51;517;5171;29;291;2911;13;131;1311;4612,811192,486910,45;457;4572;45721;457210;81;811;8111;81119;811192;21;211;2111;21112;211120;48;486;4869;48691;486910,"Energy, Utilities & Waste",Oil & Gas Exploration & Services,"Energy, Utilities & Waste;Retail;Transportation",Oil & Gas Exploration & Services;Freight & Logistics Services,energy,energy.services,632426,Public,B2B,Yes,16-Feb-24,0,0,,,,,Findlay,Ohio,45840,United States,32,,,
36901197,1960,8600000,Over $5 bil.,1049200,86000,172000,5702,4000,Employees.1000to4999,0,0,5149,4222,51;514;5149;42;422;4222;421;4214,541614,493120,42;424;4244;42441;424410;49;493;4931;49312;493120;48;488;4889;48899;488999;484;4842;48422;484220;54;541;5416;54161;541614,Retail,Grocery Retail,Retail;Transportation,Grocery Retail;Freight & Logistics Services,retail,retail.grocery,141543,Private,B2C,Yes,21-Feb-24,0,0,,,,,Mount Sterling,Illinois,62353,United States,18,,,
5619763,1961,35819000,Over $5 bil.,2901339,537285,1325303,45089,20000,Employees.10000plus,0,0,7389,7372,73;737;7372;35;355;3559;36;366;3669;738;7389;364;3643;367;3679,513210,335931,51;516;5162;51621;33;334;3342;33429;334290;335;3359;33593;335931;33592;335921;335929;513;5132;51321;513210,Manufacturing,Telecommunication Equipment,Manufacturing;Business Services,Telecommunication Equipment;Custom Software & IT Services;Electronics,mfg,mfg.telecom,25726,Public,B2B,Yes,9-Jan-24,32078100,32000000,Debt,2-Jun-22,,,Palo Alto,California,94304,United States,31,,,
12239860,1971,480409,$250 mil. - $500 mil.,38913,7206,17775,1853,1300,Employees.1000to4999,11.7,10.1,7389,7379,48;481;4813;484;4841;73;738;7389;737;7379;483;4833;7375,517810,517311,51;517;5171;51711;517112;5178;51781;517810;517111;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,"Telephony & Wireless;Cable & Satellite;Internet Service Providers, Website Hosting & Internet-related Services",telecom,telecom.telephone,67116,Private,B2B,Yes,13-Feb-24,6000,6000,Other Financing Round,1-Jan-07,,,Halifax,Nova Scotia,B3K 5M3,Canada,48,,,
